Candidate,Wikipedia_Traffic,Date
Pete Buttigieg,20012,183
Joe Biden,16796,183
Elizabeth Warren,13376,183
Kamala Harris,108765,183
Bernie Sanders,8942,183
Pete Buttigieg,20012,183
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Kamala Harris,163964,182
Elizabeth Warren,11992,182
Pete Buttigieg,26412,182
Elizabeth Warren,11992,182
Kamala Harris,163964,182
Joe Biden,17357,182
Bernie Sanders,10724,182
Pete Buttigieg,26412,182
Joe Biden,18993,181
Bernie Sanders,12581,181
Kamala Harris,217271,181
Elizabeth Warren,15015,181
Pete Buttigieg,26624,181
Joe Biden,18993,181
Bernie Sanders,12581,181
Kamala Harris,217271,181
Elizabeth Warren,15015,181
Pete Buttigieg,26624,181
Joe Biden,18993,181
Kamala Harris,217271,181
Elizabeth Warren,15015,181
Bernie Sanders,12581,181
Pete Buttigieg,26624,181
Joe Biden,18993,181
Elizabeth Warren,15015,181
Bernie Sanders,12581,181
Kamala Harris,217271,181
Pete Buttigieg,26624,181
Joe Biden,32294,180
Bernie Sanders,16635,180
Kamala Harris,269752,180
Elizabeth Warren,21405,180
Pete Buttigieg,51455,180
Joe Biden,32294,180
Bernie Sanders,16635,180
Elizabeth Warren,21405,180
Kamala Harris,269752,180
Pete Buttigieg,51455,180
Joe Biden,151823,179
Bernie Sanders,63200,179
Kamala Harris,654510,179
Elizabeth Warren,42693,179
Pete Buttigieg,261255,179
Joe Biden,151823,179
Pete Buttigieg,261255,179
Kamala Harris,654510,179
Bernie Sanders,63200,179
Elizabeth Warren,42693,179
Joe Biden,22586,178
Elizabeth Warren,111914,178
Bernie Sanders,19683,178
Kamala Harris,25380,178
Pete Buttigieg,27640,178
Joe Biden,22586,178
Pete Buttigieg,27640,178
Kamala Harris,25380,178
Bernie Sanders,19683,178
Elizabeth Warren,111914,178
Joe Biden,11201,177
Elizabeth Warren,19838,177
Bernie Sanders,10439,177
Kamala Harris,10269,177
Pete Buttigieg,12496,177
Joe Biden,11201,177
Bernie Sanders,10439,177
Elizabeth Warren,19838,177
Kamala Harris,10269,177
Pete Buttigieg,12496,177
Joe Biden,11201,177
Bernie Sanders,10439,177
Elizabeth Warren,19838,177
Pete Buttigieg,12496,177
Kamala Harris,10269,177
Joe Biden,10613,176
Pete Buttigieg,11988,176
Kamala Harris,8427,176
Bernie Sanders,9859,176
Elizabeth Warren,18317,176
Joe Biden,10613,176
Bernie Sanders,9859,176
Elizabeth Warren,18317,176
Pete Buttigieg,11988,176
Kamala Harris,8427,176
Joe Biden,9400,175
Bernie Sanders,10238,175
Elizabeth Warren,13124,175
Pete Buttigieg,18340,175
Kamala Harris,9454,175
Joe Biden,9400,175
Bernie Sanders,10238,175
Elizabeth Warren,13124,175
Kamala Harris,9454,175
Pete Buttigieg,18340,175
Joe Biden,11620,174
Bernie Sanders,6553,174
Elizabeth Warren,10356,174
Pete Buttigieg,16260,174
Kamala Harris,10420,174
Elizabeth Warren,9261,172
Kamala Harris,6977,172
Joe Biden,15245,172
Bernie Sanders,6056,172
Pete Buttigieg,8281,172
Joe Biden,12718,169
Pete Buttigieg,13323,169
Kamala Harris,6074,169
Bernie Sanders,7100,169
Elizabeth Warren,9594,169
Joe Biden,12919,168
Elizabeth Warren,13505,168
Bernie Sanders,6833,168
Kamala Harris,6600,168
Pete Buttigieg,17900,168
Joe Biden,12810,167
Bernie Sanders,7653,167
Elizabeth Warren,10402,167
Pete Buttigieg,19587,167
Kamala Harris,7913,167
Joe Biden,10778,166
Bernie Sanders,6148,166
Elizabeth Warren,10245,166
Kamala Harris,6153,166
Pete Buttigieg,9853,166
Joe Biden,10778,166
Pete Buttigieg,9853,166
Kamala Harris,6153,166
Bernie Sanders,6148,166
Elizabeth Warren,10245,166
Joe Biden,17900,164
Bernie Sanders,7955,164
Elizabeth Warren,8252,164
Kamala Harris,8589,164
Pete Buttigieg,10926,164
Joe Biden,29646,163
Bernie Sanders,7475,163
Elizabeth Warren,8292,163
Pete Buttigieg,12433,163
Kamala Harris,9617,163
Joe Biden,9622,161
Bernie Sanders,6289,161
Kamala Harris,6684,161
Elizabeth Warren,10505,161
Pete Buttigieg,13175,161
Joe Biden,9622,161
Bernie Sanders,6289,161
Elizabeth Warren,10505,161
Pete Buttigieg,13175,161
Kamala Harris,6684,161
Joe Biden,10125,160
Bernie Sanders,6259,160
Elizabeth Warren,10079,160
Pete Buttigieg,16022,160
Kamala Harris,7310,160
Joe Biden,11385,156
Kamala Harris,5732,156
Elizabeth Warren,7421,156
Bernie Sanders,6181,156
Pete Buttigieg,12147,156
Joe Biden,11385,156
Kamala Harris,5732,156
Elizabeth Warren,7421,156
Bernie Sanders,6181,156
Pete Buttigieg,12147,156
Joe Biden,8701,154
Bernie Sanders,5710,154
Elizabeth Warren,5312,154
Pete Buttigieg,12977,154
Kamala Harris,22413,154
Joe Biden,7360,153
Bernie Sanders,5565,153
Elizabeth Warren,6822,153
Kamala Harris,22890,153
Pete Buttigieg,9108,153
Joe Biden,7360,153
Bernie Sanders,5565,153
Elizabeth Warren,6822,153
Kamala Harris,22890,153
Pete Buttigieg,9108,153
Joe Biden,8923,151
Bernie Sanders,5748,151
Kamala Harris,6499,151
Elizabeth Warren,9149,151
Pete Buttigieg,10237,151
Joe Biden,11262,150
Bernie Sanders,5699,150
Kamala Harris,9120,150
Elizabeth Warren,9937,150
Pete Buttigieg,12493,150
Joe Biden,10587,146
Bernie Sanders,6828,146
Elizabeth Warren,4246,146
Pete Buttigieg,29872,146
Kamala Harris,5671,146
Joe Biden,6961,145
Pete Buttigieg,18951,145
Kamala Harris,6214,145
Bernie Sanders,7747,145
Elizabeth Warren,4548,145
Joe Biden,14768,141
Bernie Sanders,6402,141
Pete Buttigieg,34519,141
Elizabeth Warren,4903,141
Kamala Harris,7809,141
Joe Biden,14768,141
Bernie Sanders,6402,141
Elizabeth Warren,4903,141
Pete Buttigieg,34519,141
Kamala Harris,7809,141
Joe Biden,11952,140
Bernie Sanders,6932,140
Kamala Harris,11009,140
Elizabeth Warren,5357,140
Pete Buttigieg,45858,140
Joe Biden,11952,140
Bernie Sanders,6932,140
Kamala Harris,11009,140
Elizabeth Warren,5357,140
Pete Buttigieg,45858,140
Joe Biden,15634,139
Bernie Sanders,8781,139
Elizabeth Warren,5623,139
Kamala Harris,7083,139
Pete Buttigieg,33743,139
Joe Biden,17497,138
Pete Buttigieg,12929,138
Kamala Harris,6915,138
Bernie Sanders,6853,138
Elizabeth Warren,5550,138
Joe Biden,12153,134
Bernie Sanders,7175,134
Elizabeth Warren,8443,134
Pete Buttigieg,23218,134
Kamala Harris,10617,134
Joe Biden,12153,134
Kamala Harris,10617,134
Elizabeth Warren,8443,134
Bernie Sanders,7175,134
Pete Buttigieg,23218,134
Joe Biden,12153,134
Kamala Harris,10617,134
Elizabeth Warren,8443,134
Bernie Sanders,7175,134
Pete Buttigieg,23218,134
Kamala Harris,18185,133
Pete Buttigieg,12327,133
Bernie Sanders,6621,133
Elizabeth Warren,5944,133
Joe Biden,11327,133
Joe Biden,11327,133
Pete Buttigieg,12327,133
Kamala Harris,18185,133
Bernie Sanders,6621,133
Elizabeth Warren,5944,133
Joe Biden,12345,132
Bernie Sanders,7136,132
Elizabeth Warren,6986,132
Kamala Harris,26033,132
Pete Buttigieg,17592,132
Joe Biden,12341,131
Bernie Sanders,7145,131
Elizabeth Warren,6291,131
Kamala Harris,8952,131
Pete Buttigieg,17599,131
Joe Biden,15463,129
Bernie Sanders,10288,129
Pete Buttigieg,12389,129
Kamala Harris,8467,129
Elizabeth Warren,5494,129
Joe Biden,17412,125
Bernie Sanders,9447,125
Elizabeth Warren,9119,125
Kamala Harris,16998,125
Pete Buttigieg,18694,125
Joe Biden,17412,125
Bernie Sanders,9447,125
Elizabeth Warren,9119,125
Kamala Harris,16998,125
Pete Buttigieg,18694,125
Joe Biden,15369,124
Bernie Sanders,8333,124
Pete Buttigieg,20745,124
Elizabeth Warren,4975,124
Kamala Harris,31467,124
Joe Biden,33518,121
Bernie Sanders,9162,121
Pete Buttigieg,24306,121
Kamala Harris,21593,121
Elizabeth Warren,6950,121
Joe Biden,33518,121
Bernie Sanders,9162,121
Kamala Harris,21593,121
Elizabeth Warren,6950,121
Pete Buttigieg,24306,121
Joe Biden,41135,119
Bernie Sanders,10211,119
Kamala Harris,9455,119
Elizabeth Warren,8833,119
Pete Buttigieg,22216,119
Joe Biden,33611,118
Pete Buttigieg,20804,118
Kamala Harris,12336,118
Bernie Sanders,11929,118
Elizabeth Warren,7702,118
Joe Biden,33611,118
Bernie Sanders,11929,118
Elizabeth Warren,7702,118
Pete Buttigieg,20804,118
Kamala Harris,12336,118
Joe Biden,33611,118
Bernie Sanders,11929,118
Elizabeth Warren,7702,118
Pete Buttigieg,20804,118
Kamala Harris,12336,118
Joe Biden,175364,115
Bernie Sanders,25192,115
Pete Buttigieg,47811,115
Kamala Harris,17564,115
Elizabeth Warren,14270,115
Joe Biden,19375,113
Kamala Harris,45785,113
Elizabeth Warren,38543,113
Bernie Sanders,24420,113
Pete Buttigieg,92221,113
Joe Biden,9638,111
Bernie Sanders,12009,111
Pete Buttigieg,50944,111
Kamala Harris,7999,111
Elizabeth Warren,7270,111
Joe Biden,14908,109
Bernie Sanders,12571,109
Pete Buttigieg,50757,109
Kamala Harris,8443,109
Elizabeth Warren,4879,109
Bernie Sanders,19171,105
Pete Buttigieg,169216,105
Kamala Harris,13828,105
Elizabeth Warren,6348,105
Joe Biden,7571,105
Bernie Sanders,19171,105
Pete Buttigieg,169216,105
Elizabeth Warren,6348,105
Kamala Harris,13828,105
Joe Biden,7571,105
Bernie Sanders,19171,105
Pete Buttigieg,169216,105
Kamala Harris,13828,105
Elizabeth Warren,6348,105
Bernie Sanders,19171,105
Pete Buttigieg,169216,105
Kamala Harris,13828,105
Elizabeth Warren,6348,105
Joe Biden,7571,105
Pete Buttigieg,169216,105
Kamala Harris,13828,105
Bernie Sanders,19171,105
Elizabeth Warren,6348,105
Joe Biden,7571,105
Pete Buttigieg,169216,105
Kamala Harris,13828,105
Bernie Sanders,19171,105
Elizabeth Warren,6348,105
Pete Buttigieg,144986,104
Bernie Sanders,9765,104
Elizabeth Warren,4052,104
Joe Biden,6617,104
Kamala Harris,15293,104
Joe Biden,6617,104
Bernie Sanders,9765,104
Kamala Harris,15293,104
Elizabeth Warren,4052,104
Pete Buttigieg,144986,104
Bernie Sanders,9765,104
Kamala Harris,15293,104
Elizabeth Warren,4052,104
Pete Buttigieg,144986,104
Joe Biden,21305,97
Bernie Sanders,10558,97
Kamala Harris,7491,97
Elizabeth Warren,3634,97
Pete Buttigieg,73910,97
Joe Biden,24099,96
Bernie Sanders,11086,96
Pete Buttigieg,45446,96
Kamala Harris,9207,96
Elizabeth Warren,3475,96
Joe Biden,18306,90
Pete Buttigieg,59624,90
Kamala Harris,10511,90
Bernie Sanders,8153,90
Elizabeth Warren,4246,90
Joe Biden,18306,90
Bernie Sanders,8153,90
Kamala Harris,10511,90
Elizabeth Warren,4246,90
Pete Buttigieg,59624,90
Joe Biden,7436,85
Bernie Sanders,7593,85
Kamala Harris,13847,85
Elizabeth Warren,8224,85
Pete Buttigieg,45960,85
Joe Biden,7436,85
Bernie Sanders,7593,85
Elizabeth Warren,8224,85
Kamala Harris,13847,85
Pete Buttigieg,45960,85
Joe Biden,8766,84
Bernie Sanders,9445,84
Kamala Harris,10382,84
Elizabeth Warren,4619,84
Pete Buttigieg,43874,84
Joe Biden,10149,83
Bernie Sanders,10231,83
Kamala Harris,12503,83
Elizabeth Warren,4649,83
Pete Buttigieg,43862,83
Bernie Sanders,10231,83
Elizabeth Warren,4649,83
Joe Biden,10149,83
Kamala Harris,12503,83
Pete Buttigieg,43862,83
Joe Biden,18915,79
Bernie Sanders,11868,79
Kamala Harris,26832,79
Elizabeth Warren,8623,79
Pete Buttigieg,43628,79
Kamala Harris,12345,77
Elizabeth Warren,6272,77
Bernie Sanders,14034,77
Joe Biden,24597,77
Pete Buttigieg,30367,77
Joe Biden,27411,76
Bernie Sanders,14083,76
Kamala Harris,10472,76
Elizabeth Warren,5438,76
Pete Buttigieg,47530,76
Joe Biden,27411,76
Bernie Sanders,14083,76
Kamala Harris,10472,76
Elizabeth Warren,5438,76
Pete Buttigieg,47530,76
Joe Biden,27411,76
Bernie Sanders,14083,76
Kamala Harris,10472,76
Elizabeth Warren,5438,76
Pete Buttigieg,47530,76
Joe Biden,16428,69
Pete Buttigieg,6666,69
Kamala Harris,10469,69
Bernie Sanders,20936,69
Elizabeth Warren,8770,69
Bernie Sanders,20936,69
Kamala Harris,10469,69
Elizabeth Warren,8770,69
Pete Buttigieg,6666,69
Joe Biden,16428,69
Bernie Sanders,20936,69
Kamala Harris,10469,69
Elizabeth Warren,8770,69
Pete Buttigieg,6666,69
Joe Biden,16428,69
Bernie Sanders,20936,69
Kamala Harris,10469,69
Elizabeth Warren,8770,69
Pete Buttigieg,6666,69
Joe Biden,8447,63
Bernie Sanders,32610,63
Kamala Harris,13941,63
Elizabeth Warren,4985,63
Pete Buttigieg,8509,63
Bernie Sanders,32610,63
Kamala Harris,13941,63
Elizabeth Warren,4985,63
Pete Buttigieg,8509,63
Joe Biden,10398,62
Bernie Sanders,44505,62
Kamala Harris,13573,62
Elizabeth Warren,11130,62
Pete Buttigieg,8005,62
Joe Biden,10398,62
Bernie Sanders,44505,62
Kamala Harris,13573,62
Elizabeth Warren,11130,62
Pete Buttigieg,8005,62
Joe Biden,9340,55
Bernie Sanders,25913,55
Kamala Harris,35444,55
Elizabeth Warren,5576,55
Pete Buttigieg,6400,55
Joe Biden,8844,54
Bernie Sanders,28977,54
Kamala Harris,39539,54
Elizabeth Warren,6378,54
Pete Buttigieg,7018,54
Joe Biden,19569,51
Bernie Sanders,117929,51
Kamala Harris,41581,51
Elizabeth Warren,15793,51
Joe Biden,19569,51
Bernie Sanders,117929,51
Kamala Harris,41581,51
Elizabeth Warren,15793,51
Joe Biden,10587,49
Kamala Harris,28258,49
Bernie Sanders,8134,49
Elizabeth Warren,6133,49
Joe Biden,11138,48
Bernie Sanders,10158,48
Kamala Harris,28080,48
Elizabeth Warren,6599,48
Pete Buttigieg,8276,48
Kamala Harris,24828,47
Bernie Sanders,6904,47
Elizabeth Warren,6065,47
Joe Biden,12321,47
Pete Buttigieg,16688,47
Joe Biden,10922,42
Kamala Harris,69362,42
Bernie Sanders,7359,42
Elizabeth Warren,33716,42
Joe Biden,8967,41
Bernie Sanders,8387,41
Kamala Harris,31588,41
Elizabeth Warren,79230,41
Pete Buttigieg,10791,41
Joe Biden,8967,41
Bernie Sanders,8387,41
Kamala Harris,31588,41
Elizabeth Warren,79230,41
Pete Buttigieg,10791,41
Bernie Sanders,5819,34
Elizabeth Warren,7008,34
Joe Biden,6118,34
Kamala Harris,52476,34
Pete Buttigieg,10259,34
Joe Biden,6414,33
Bernie Sanders,5966,33
Elizabeth Warren,10369,33
Kamala Harris,66490,33
Pete Buttigieg,6537,33
Joe Biden,6980,27
Bernie Sanders,13169,27
Elizabeth Warren,8019,27
Kamala Harris,260497,27
Pete Buttigieg,7576,27
Joe Biden,6980,27
Bernie Sanders,13169,27
Elizabeth Warren,8019,27
Kamala Harris,260497,27
Pete Buttigieg,7576,27
Bernie Sanders,13169,27
Elizabeth Warren,8019,27
Joe Biden,6980,27
Kamala Harris,260497,27
Joe Biden,8059,24
Kamala Harris,163271,24
Bernie Sanders,5632,24
Elizabeth Warren,8262,24
Joe Biden,10393,22
Bernie Sanders,12340,22
Elizabeth Warren,13268,22
Kamala Harris,484659,22
Joe Biden,10019,21
Kamala Harris,607080,21
Bernie Sanders,8182,21
Elizabeth Warren,18222,21
Kamala Harris,607080,21
Elizabeth Warren,18222,21
Joe Biden,6128,20
Bernie Sanders,4820,20
Elizabeth Warren,15806,20
Kamala Harris,13575,20
Joe Biden,6128,20
Bernie Sanders,4820,20
Elizabeth Warren,15806,20
Kamala Harris,13575,20
Bernie Sanders,4820,20
Elizabeth Warren,15806,20
Joe Biden,6128,20
Kamala Harris,13575,20
Joe Biden,6471,16
Bernie Sanders,5667,16
Elizabeth Warren,8678,16
Kamala Harris,31179,16
Joe Biden,6471,16
Bernie Sanders,5667,16
Kamala Harris,31179,16
Elizabeth Warren,8678,16
Joe Biden,7738,14
Bernie Sanders,5865,14
Elizabeth Warren,21779,14
Kamala Harris,25399,14
Bernie Sanders,6534,13
Elizabeth Warren,9621,13
Joe Biden,10088,13
Kamala Harris,39178,13
Joe Biden,7112,6
Bernie Sanders,6225,6
Elizabeth Warren,31953,6
Kamala Harris,9421,6
