Candidate,Poll_Percent,Wikipedia_Traffic,Date,,
Pete Buttigieg,5.0,8543.0,190.0,,
Kamala Harris,14.0,29478.0,190.0,,
Bernie Sanders,11.0,6161.0,190.0,,
Elizabeth Warren,17.0,7723.0,190.0,,
Joe Biden,26.0,15609.0,190.0,,
Elizabeth Warren,19.0,7723.0,190.0,,
Kamala Harris,13.0,29478.0,190.0,,
Bernie Sanders,13.0,6161.0,190.0,,
Pete Buttigieg,7.0,8543.0,190.0,,
Bernie Sanders,15.4,6469.0,189.0,,
Elizabeth Warren,14.5,8268.0,189.0,,
Joe Biden,29.7,9680.0,189.0,,
Pete Buttigieg,5.3,8654.0,189.0,,
Kamala Harris,15.2,33122.0,189.0,,
Joe Biden,31.0,11712.0,188.0,,
Bernie Sanders,19.0,6522.0,188.0,,
Kamala Harris,14.0,39144.0,188.0,,
Elizabeth Warren,13.0,7029.0,188.0,,
Pete Buttigieg,6.0,8957.0,188.0,,
Joe Biden,21.0,16796.0,183.0,,
Pete Buttigieg,9.0,20012.0,183.0,,
Kamala Harris,13.0,108765.0,183.0,,
Bernie Sanders,10.0,8942.0,183.0,,
Elizabeth Warren,18.0,13376.0,183.0,,
Joe Biden,22.0,16796.0,183.0,,
Bernie Sanders,16.0,8942.0,183.0,,
Kamala Harris,10.0,108765.0,183.0,,
Elizabeth Warren,9.0,13376.0,183.0,,
Pete Buttigieg,3.0,20012.0,183.0,,
Joe Biden,24.0,16796.0,183.0,,
Kamala Harris,11.0,108765.0,183.0,,
Elizabeth Warren,11.0,13376.0,183.0,,
Bernie Sanders,17.0,8942.0,183.0,,
Pete Buttigieg,4.0,20012.0,183.0,,
Joe Biden,23.0,16796.0,183.0,,
Elizabeth Warren,22.0,13376.0,183.0,,
Kamala Harris,17.0,108765.0,183.0,,
Bernie Sanders,15.0,8942.0,183.0,,
Pete Buttigieg,7.0,20012.0,183.0,,
Joe Biden,28.0,17357.0,182.0,,
Bernie Sanders,14.0,10724.0,182.0,,
Kamala Harris,13.0,163964.0,182.0,,
Elizabeth Warren,9.0,11992.0,182.0,,
Pete Buttigieg,4.0,26412.0,182.0,,
Joe Biden,22.0,17357.0,182.0,,
Bernie Sanders,13.0,10724.0,182.0,,
Kamala Harris,20.0,163964.0,182.0,,
Elizabeth Warren,14.0,11992.0,182.0,,
Pete Buttigieg,4.0,26412.0,182.0,,
Joe Biden,28.0,17357.0,182.0,,
Bernie Sanders,16.0,10724.0,182.0,,
Kamala Harris,11.0,163964.0,182.0,,
Elizabeth Warren,10.0,11992.0,182.0,,
Pete Buttigieg,3.0,26412.0,182.0,,
Joe Biden,25.0,17357.0,182.0,,
Bernie Sanders,18.0,10724.0,182.0,,
Kamala Harris,9.0,163964.0,182.0,,
Elizabeth Warren,9.0,11992.0,182.0,,
Pete Buttigieg,3.0,26412.0,182.0,,
Joe Biden,30.0,17357.0,182.0,,
Bernie Sanders,19.0,10724.0,182.0,,
Kamala Harris,13.0,163964.0,182.0,,
Elizabeth Warren,12.0,11992.0,182.0,,
Pete Buttigieg,4.0,26412.0,182.0,,
Joe Biden,29.0,17357.0,182.0,,
Bernie Sanders,23.0,10724.0,182.0,,
Kamala Harris,11.0,163964.0,182.0,,
Elizabeth Warren,11.0,11992.0,182.0,,
Pete Buttigieg,4.0,26412.0,182.0,,
Elizabeth Warren,22.0,11992.0,182.0,,
Kamala Harris,21.0,163964.0,182.0,,
Joe Biden,18.0,17357.0,182.0,,
Bernie Sanders,17.0,10724.0,182.0,,
Pete Buttigieg,10.0,26412.0,182.0,,
Joe Biden,33.0,18993.0,181.0,,
Bernie Sanders,15.0,12581.0,181.0,,
Kamala Harris,11.0,217271.0,181.0,,
Elizabeth Warren,9.0,15015.0,181.0,,
Pete Buttigieg,6.0,26624.0,181.0,,
Joe Biden,28.0,18993.0,181.0,,
Bernie Sanders,14.0,12581.0,181.0,,
Kamala Harris,11.0,217271.0,181.0,,
Elizabeth Warren,8.0,15015.0,181.0,,
Pete Buttigieg,4.0,26624.0,181.0,,
Joe Biden,22.0,18993.0,181.0,,
Kamala Harris,17.0,217271.0,181.0,,
Elizabeth Warren,15.0,15015.0,181.0,,
Bernie Sanders,14.0,12581.0,181.0,,
Pete Buttigieg,4.0,26624.0,181.0,,
Joe Biden,31.0,18993.0,181.0,,
Elizabeth Warren,14.4,15015.0,181.0,,
Bernie Sanders,16.8,12581.0,181.0,,
Kamala Harris,16.8,217271.0,181.0,,
Pete Buttigieg,5.9,26624.0,181.0,,
Joe Biden,27.0,32294.0,180.0,,
Bernie Sanders,18.0,16635.0,180.0,,
Kamala Harris,8.0,269752.0,180.0,,
Elizabeth Warren,8.0,21405.0,180.0,,
Pete Buttigieg,3.0,51455.0,180.0,,
Joe Biden,34.0,32294.0,180.0,,
Bernie Sanders,15.0,16635.0,180.0,,
Elizabeth Warren,11.0,21405.0,180.0,,
Kamala Harris,9.0,269752.0,180.0,,
Pete Buttigieg,3.0,51455.0,180.0,,
Joe Biden,33.0,151823.0,179.0,,
Bernie Sanders,19.0,63200.0,179.0,,
Kamala Harris,12.0,654510.0,179.0,,
Elizabeth Warren,12.0,42693.0,179.0,,
Pete Buttigieg,6.0,261255.0,179.0,,
Joe Biden,30.0,151823.0,179.0,,
Pete Buttigieg,4.0,261255.0,179.0,,
Kamala Harris,5.0,654510.0,179.0,,
Bernie Sanders,20.0,63200.0,179.0,,
Elizabeth Warren,10.0,42693.0,179.0,,
Joe Biden,32.5,22586.0,178.0,,
Elizabeth Warren,17.0,111914.0,178.0,,
Bernie Sanders,17.1,19683.0,178.0,,
Kamala Harris,6.7,25380.0,178.0,,
Pete Buttigieg,4.5,27640.0,178.0,,
Joe Biden,31.0,22586.0,178.0,,
Pete Buttigieg,4.0,27640.0,178.0,,
Kamala Harris,5.0,25380.0,178.0,,
Bernie Sanders,17.0,19683.0,178.0,,
Elizabeth Warren,10.0,111914.0,178.0,,
Joe Biden,30.0,11201.0,177.0,,
Elizabeth Warren,24.0,19838.0,177.0,,
Bernie Sanders,16.0,10439.0,177.0,,
Kamala Harris,7.0,10269.0,177.0,,
Pete Buttigieg,7.0,12496.0,177.0,,
Joe Biden,29.0,11201.0,177.0,,
Bernie Sanders,17.0,10439.0,177.0,,
Elizabeth Warren,9.0,19838.0,177.0,,
Kamala Harris,6.0,10269.0,177.0,,
Pete Buttigieg,3.0,12496.0,177.0,,
Joe Biden,35.2,11201.0,177.0,,
Bernie Sanders,18.2,10439.0,177.0,,
Elizabeth Warren,12.4,19838.0,177.0,,
Pete Buttigieg,6.0,12496.0,177.0,,
Kamala Harris,6.1,10269.0,177.0,,
Joe Biden,24.0,10613.0,176.0,,
Pete Buttigieg,5.0,11988.0,176.0,,
Kamala Harris,7.0,8427.0,176.0,,
Bernie Sanders,15.0,9859.0,176.0,,
Elizabeth Warren,18.0,18317.0,176.0,,
Joe Biden,32.0,10613.0,176.0,,
Bernie Sanders,15.0,9859.0,176.0,,
Elizabeth Warren,11.0,18317.0,176.0,,
Pete Buttigieg,9.0,11988.0,176.0,,
Kamala Harris,6.0,8427.0,176.0,,
Joe Biden,33.9,9400.0,175.0,,
Bernie Sanders,27.1,10238.0,175.0,,
Elizabeth Warren,14.2,13124.0,175.0,,
Pete Buttigieg,6.3,18340.0,175.0,,
Kamala Harris,7.0,9454.0,175.0,,
Joe Biden,34.0,9400.0,175.0,,
Bernie Sanders,17.0,10238.0,175.0,,
Elizabeth Warren,11.0,13124.0,175.0,,
Kamala Harris,6.0,9454.0,175.0,,
Pete Buttigieg,6.0,18340.0,175.0,,
Joe Biden,38.0,11620.0,174.0,,
Bernie Sanders,19.0,6553.0,174.0,,
Elizabeth Warren,13.0,10356.0,174.0,,
Pete Buttigieg,7.0,16260.0,174.0,,
Kamala Harris,6.0,10420.0,174.0,,
Elizabeth Warren,22.0,9261.0,172.0,,
Kamala Harris,8.0,6977.0,172.0,,
Joe Biden,24.0,15245.0,172.0,,
Bernie Sanders,22.0,6056.0,172.0,,
Pete Buttigieg,13.0,8281.0,172.0,,
Joe Biden,26.0,12718.0,169.0,,
Pete Buttigieg,9.0,13323.0,169.0,,
Kamala Harris,7.0,6074.0,169.0,,
Bernie Sanders,13.0,7100.0,169.0,,
Elizabeth Warren,14.0,9594.0,169.0,,
Joe Biden,32.0,12919.0,168.0,,
Elizabeth Warren,15.0,13505.0,168.0,,
Bernie Sanders,14.0,6833.0,168.0,,
Kamala Harris,8.0,6600.0,168.0,,
Pete Buttigieg,5.0,17900.0,168.0,,
Joe Biden,38.0,12810.0,167.0,,
Bernie Sanders,19.0,7653.0,167.0,,
Elizabeth Warren,11.0,10402.0,167.0,,
Pete Buttigieg,7.0,19587.0,167.0,,
Kamala Harris,7.0,7913.0,167.0,,
Joe Biden,35.0,10778.0,166.0,,
Bernie Sanders,13.0,6148.0,166.0,,
Elizabeth Warren,7.0,10245.0,166.0,,
Kamala Harris,5.0,6153.0,166.0,,
Pete Buttigieg,4.0,9853.0,166.0,,
Joe Biden,30.1,10778.0,166.0,,
Pete Buttigieg,9.4,9853.0,166.0,,
Kamala Harris,8.3,6153.0,166.0,,
Bernie Sanders,15.3,6148.0,166.0,,
Elizabeth Warren,9.6,10245.0,166.0,,
Joe Biden,35.0,17900.0,164.0,,
Bernie Sanders,14.0,7955.0,164.0,,
Elizabeth Warren,10.0,8252.0,164.0,,
Kamala Harris,9.0,8589.0,164.0,,
Pete Buttigieg,8.0,10926.0,164.0,,
Joe Biden,32.0,29646.0,163.0,,
Bernie Sanders,13.0,7475.0,163.0,,
Elizabeth Warren,9.0,8292.0,163.0,,
Pete Buttigieg,8.0,12433.0,163.0,,
Kamala Harris,8.0,9617.0,163.0,,
Joe Biden,30.0,9622.0,161.0,,
Bernie Sanders,19.0,6289.0,161.0,,
Kamala Harris,7.0,6684.0,161.0,,
Elizabeth Warren,15.0,10505.0,161.0,,
Pete Buttigieg,8.0,13175.0,161.0,,
Joe Biden,26.0,9622.0,161.0,,
Bernie Sanders,21.0,6289.0,161.0,,
Elizabeth Warren,19.0,10505.0,161.0,,
Pete Buttigieg,14.0,13175.0,161.0,,
Kamala Harris,8.0,6684.0,161.0,,
Joe Biden,37.0,10125.0,160.0,,
Bernie Sanders,19.0,6259.0,160.0,,
Elizabeth Warren,11.0,10079.0,160.0,,
Pete Buttigieg,7.0,16022.0,160.0,,
Kamala Harris,7.0,7310.0,160.0,,
Joe Biden,30.0,11385.0,156.0,,
Kamala Harris,6.0,5732.0,156.0,,
Elizabeth Warren,8.0,7421.0,156.0,,
Bernie Sanders,15.0,6181.0,156.0,,
Pete Buttigieg,5.0,12147.0,156.0,,
Joe Biden,31.0,11385.0,156.0,,
Kamala Harris,6.0,5732.0,156.0,,
Elizabeth Warren,9.0,7421.0,156.0,,
Bernie Sanders,14.0,6181.0,156.0,,
Pete Buttigieg,5.0,12147.0,156.0,,
Joe Biden,29.0,8701.0,154.0,,
Bernie Sanders,17.0,5710.0,154.0,,
Elizabeth Warren,16.0,5312.0,154.0,,
Pete Buttigieg,13.0,12977.0,154.0,,
Kamala Harris,12.0,22413.0,154.0,,
Joe Biden,35.0,7360.0,153.0,,
Bernie Sanders,16.0,5565.0,153.0,,
Elizabeth Warren,5.0,6822.0,153.0,,
Kamala Harris,4.0,22890.0,153.0,,
Pete Buttigieg,8.0,9108.0,153.0,,
Joe Biden,38.0,7360.0,153.0,,
Bernie Sanders,19.0,5565.0,153.0,,
Elizabeth Warren,10.0,6822.0,153.0,,
Kamala Harris,7.0,22890.0,153.0,,
Pete Buttigieg,7.0,9108.0,153.0,,
Joe Biden,32.0,8923.0,151.0,,
Bernie Sanders,18.0,5748.0,151.0,,
Kamala Harris,8.0,6499.0,151.0,,
Elizabeth Warren,7.0,9149.0,151.0,,
Pete Buttigieg,5.0,10237.0,151.0,,
Joe Biden,36.0,11262.0,150.0,,
Bernie Sanders,17.0,5699.0,150.0,,
Kamala Harris,8.0,9120.0,150.0,,
Elizabeth Warren,5.0,9937.0,150.0,,
Pete Buttigieg,5.0,12493.0,150.0,,
Joe Biden,38.0,10587.0,146.0,,
Bernie Sanders,20.0,6828.0,146.0,,
Elizabeth Warren,9.0,4246.0,146.0,,
Pete Buttigieg,7.0,29872.0,146.0,,
Kamala Harris,7.0,5671.0,146.0,,
Joe Biden,33.0,6961.0,145.0,,
Pete Buttigieg,5.0,18951.0,145.0,,
Kamala Harris,6.0,6214.0,145.0,,
Bernie Sanders,15.0,7747.0,145.0,,
Elizabeth Warren,7.0,4548.0,145.0,,
Joe Biden,38.0,14768.0,141.0,,
Bernie Sanders,16.0,6402.0,141.0,,
Pete Buttigieg,5.0,34519.0,141.0,,
Elizabeth Warren,5.0,4903.0,141.0,,
Kamala Harris,5.0,7809.0,141.0,,
Joe Biden,31.0,14768.0,141.0,,
Bernie Sanders,22.0,6402.0,141.0,,
Elizabeth Warren,15.0,4903.0,141.0,,
Pete Buttigieg,9.0,34519.0,141.0,,
Kamala Harris,8.0,7809.0,141.0,,
Joe Biden,35.0,11952.0,140.0,,
Bernie Sanders,16.0,6932.0,140.0,,
Kamala Harris,8.0,11009.0,140.0,,
Elizabeth Warren,13.0,5357.0,140.0,,
Pete Buttigieg,5.0,45858.0,140.0,,
Joe Biden,33.0,11952.0,140.0,,
Bernie Sanders,15.0,6932.0,140.0,,
Kamala Harris,11.0,11009.0,140.0,,
Elizabeth Warren,10.0,5357.0,140.0,,
Pete Buttigieg,6.0,45858.0,140.0,,
Joe Biden,39.0,15634.0,139.0,,
Bernie Sanders,19.0,8781.0,139.0,,
Elizabeth Warren,9.0,5623.0,139.0,,
Kamala Harris,8.0,7083.0,139.0,,
Pete Buttigieg,6.0,33743.0,139.0,,
Joe Biden,33.0,17497.0,138.0,,
Pete Buttigieg,6.0,12929.0,138.0,,
Kamala Harris,6.0,6915.0,138.0,,
Bernie Sanders,14.0,6853.0,138.0,,
Elizabeth Warren,8.0,5550.0,138.0,,
Joe Biden,35.0,12153.0,134.0,,
Bernie Sanders,17.0,7175.0,134.0,,
Elizabeth Warren,9.0,8443.0,134.0,,
Pete Buttigieg,6.0,23218.0,134.0,,
Kamala Harris,5.0,10617.0,134.0,,
Joe Biden,29.0,12153.0,134.0,,
Kamala Harris,6.0,10617.0,134.0,,
Elizabeth Warren,6.0,8443.0,134.0,,
Bernie Sanders,13.0,7175.0,134.0,,
Pete Buttigieg,4.0,23218.0,134.0,,
Joe Biden,32.0,12153.0,134.0,,
Kamala Harris,7.0,10617.0,134.0,,
Elizabeth Warren,7.0,8443.0,134.0,,
Bernie Sanders,14.0,7175.0,134.0,,
Pete Buttigieg,4.0,23218.0,134.0,,
Kamala Harris,10.4,18185.0,133.0,,
Pete Buttigieg,7.5,12327.0,133.0,,
Bernie Sanders,24.9,6621.0,133.0,,
Elizabeth Warren,9.7,5944.0,133.0,,
Joe Biden,32.6,11327.0,133.0,,
Joe Biden,39.0,11327.0,133.0,,
Pete Buttigieg,5.0,12327.0,133.0,,
Kamala Harris,6.0,18185.0,133.0,,
Bernie Sanders,20.0,6621.0,133.0,,
Elizabeth Warren,8.0,5944.0,133.0,,
Joe Biden,39.0,12345.0,132.0,,
Bernie Sanders,19.0,7136.0,132.0,,
Elizabeth Warren,8.0,6986.0,132.0,,
Kamala Harris,8.0,26033.0,132.0,,
Pete Buttigieg,6.0,17592.0,132.0,,
Joe Biden,30.0,12341.0,131.0,,
Bernie Sanders,19.0,7145.0,131.0,,
Elizabeth Warren,7.0,6291.0,131.0,,
Kamala Harris,7.0,8952.0,131.0,,
Pete Buttigieg,4.0,17599.0,131.0,,
Joe Biden,37.0,15463.0,129.0,,
Bernie Sanders,15.0,10288.0,129.0,,
Pete Buttigieg,7.0,12389.0,129.0,,
Kamala Harris,5.0,8467.0,129.0,,
Elizabeth Warren,6.0,5494.0,129.0,,
Joe Biden,36.0,17412.0,125.0,,
Bernie Sanders,13.0,9447.0,125.0,,
Elizabeth Warren,8.0,9119.0,125.0,,
Kamala Harris,6.0,16998.0,125.0,,
Pete Buttigieg,5.0,18694.0,125.0,,
Joe Biden,40.0,17412.0,125.0,,
Bernie Sanders,19.0,9447.0,125.0,,
Elizabeth Warren,8.0,9119.0,125.0,,
Kamala Harris,7.0,16998.0,125.0,,
Pete Buttigieg,6.0,18694.0,125.0,,
Joe Biden,46.0,15369.0,124.0,,
Bernie Sanders,14.0,8333.0,124.0,,
Pete Buttigieg,8.0,20745.0,124.0,,
Elizabeth Warren,7.0,4975.0,124.0,,
Kamala Harris,6.0,31467.0,124.0,,
Joe Biden,34.0,33518.0,121.0,,
Bernie Sanders,17.0,9162.0,121.0,,
Pete Buttigieg,4.0,24306.0,121.0,,
Kamala Harris,4.0,21593.0,121.0,,
Elizabeth Warren,3.0,6950.0,121.0,,
Joe Biden,44.0,33518.0,121.0,,
Bernie Sanders,14.0,9162.0,121.0,,
Kamala Harris,9.0,21593.0,121.0,,
Elizabeth Warren,5.0,6950.0,121.0,,
Pete Buttigieg,2.0,24306.0,121.0,,
Joe Biden,38.0,41135.0,119.0,,
Bernie Sanders,11.0,10211.0,119.0,,
Kamala Harris,8.0,9455.0,119.0,,
Elizabeth Warren,12.0,8833.0,119.0,,
Pete Buttigieg,10.0,22216.0,119.0,,
Joe Biden,33.0,33611.0,118.0,,
Pete Buttigieg,5.0,20804.0,118.0,,
Kamala Harris,5.0,12336.0,118.0,,
Bernie Sanders,16.0,11929.0,118.0,,
Elizabeth Warren,6.0,7702.0,118.0,,
Joe Biden,39.0,33611.0,118.0,,
Bernie Sanders,15.0,11929.0,118.0,,
Elizabeth Warren,8.0,7702.0,118.0,,
Pete Buttigieg,7.0,20804.0,118.0,,
Kamala Harris,5.0,12336.0,118.0,,
Joe Biden,36.0,33611.0,118.0,,
Bernie Sanders,22.0,11929.0,118.0,,
Elizabeth Warren,9.0,7702.0,118.0,,
Pete Buttigieg,8.0,20804.0,118.0,,
Kamala Harris,7.0,12336.0,118.0,,
Joe Biden,17.0,175364.0,115.0,,
Bernie Sanders,11.0,25192.0,115.0,,
Pete Buttigieg,5.0,47811.0,115.0,,
Kamala Harris,4.0,17564.0,115.0,,
Elizabeth Warren,4.0,14270.0,115.0,,
Joe Biden,24.0,19375.0,113.0,,
Kamala Harris,6.0,45785.0,113.0,,
Elizabeth Warren,5.0,38543.0,113.0,,
Bernie Sanders,15.0,24420.0,113.0,,
Pete Buttigieg,7.0,92221.0,113.0,,
Joe Biden,30.0,9638.0,111.0,,
Bernie Sanders,24.0,12009.0,111.0,,
Pete Buttigieg,9.0,50944.0,111.0,,
Kamala Harris,8.0,7999.0,111.0,,
Elizabeth Warren,7.0,7270.0,111.0,,
Joe Biden,26.0,14908.0,109.0,,
Bernie Sanders,22.0,12571.0,109.0,,
Pete Buttigieg,7.0,50757.0,109.0,,
Kamala Harris,6.0,8443.0,109.0,,
Elizabeth Warren,3.0,4879.0,109.0,,
Bernie Sanders,26.0,19171.0,105.0,,
Pete Buttigieg,21.0,169216.0,105.0,,
Kamala Harris,10.0,13828.0,105.0,,
Elizabeth Warren,10.0,6348.0,105.0,,
Joe Biden,21.0,7571.0,105.0,,
Bernie Sanders,20.0,19171.0,105.0,,
Pete Buttigieg,17.0,169216.0,105.0,,
Elizabeth Warren,8.0,6348.0,105.0,,
Kamala Harris,7.0,13828.0,105.0,,
Joe Biden,27.0,7571.0,105.0,,
Bernie Sanders,20.0,19171.0,105.0,,
Pete Buttigieg,8.0,169216.0,105.0,,
Kamala Harris,8.0,13828.0,105.0,,
Elizabeth Warren,6.0,6348.0,105.0,,
Bernie Sanders,27.0,19171.0,105.0,,
Pete Buttigieg,11.0,169216.0,105.0,,
Kamala Harris,11.0,13828.0,105.0,,
Elizabeth Warren,8.0,6348.0,105.0,,
Joe Biden,27.0,7571.0,105.0,,
Pete Buttigieg,2.0,169216.0,105.0,,
Kamala Harris,7.0,13828.0,105.0,,
Bernie Sanders,16.0,19171.0,105.0,,
Elizabeth Warren,4.0,6348.0,105.0,,
Joe Biden,30.0,7571.0,105.0,,
Pete Buttigieg,3.0,169216.0,105.0,,
Kamala Harris,9.0,13828.0,105.0,,
Bernie Sanders,19.0,19171.0,105.0,,
Elizabeth Warren,5.0,6348.0,105.0,,
Pete Buttigieg,9.0,144986.0,104.0,,
Bernie Sanders,29.0,9765.0,104.0,,
Elizabeth Warren,6.8,4052.0,104.0,,
Joe Biden,23.8,6617.0,104.0,,
Kamala Harris,7.6,15293.0,104.0,,
Joe Biden,31.0,6617.0,104.0,,
Bernie Sanders,23.0,9765.0,104.0,,
Kamala Harris,9.0,15293.0,104.0,,
Elizabeth Warren,7.0,4052.0,104.0,,
Pete Buttigieg,7.0,144986.0,104.0,,
Bernie Sanders,35.0,9765.0,104.0,,
Kamala Harris,12.0,15293.0,104.0,,
Elizabeth Warren,10.0,4052.0,104.0,,
Pete Buttigieg,9.0,144986.0,104.0,,
Joe Biden,32.0,21305.0,97.0,,
Bernie Sanders,23.0,10558.0,97.0,,
Kamala Harris,9.0,7491.0,97.0,,
Elizabeth Warren,7.0,3634.0,97.0,,
Pete Buttigieg,5.0,73910.0,97.0,,
Joe Biden,36.0,24099.0,96.0,,
Bernie Sanders,19.0,11086.0,96.0,,
Pete Buttigieg,4.0,45446.0,96.0,,
Kamala Harris,9.0,9207.0,96.0,,
Elizabeth Warren,6.0,3475.0,96.0,,
Joe Biden,29.0,18306.0,90.0,,
Pete Buttigieg,3.0,59624.0,90.0,,
Kamala Harris,6.0,10511.0,90.0,,
Bernie Sanders,18.0,8153.0,90.0,,
Elizabeth Warren,5.0,4246.0,90.0,,
Joe Biden,33.0,18306.0,90.0,,
Bernie Sanders,25.0,8153.0,90.0,,
Kamala Harris,8.0,10511.0,90.0,,
Elizabeth Warren,7.0,4246.0,90.0,,
Pete Buttigieg,3.0,59624.0,90.0,,
Joe Biden,26.0,7436.0,85.0,,
Bernie Sanders,18.0,7593.0,85.0,,
Kamala Harris,11.0,13847.0,85.0,,
Elizabeth Warren,5.0,8224.0,85.0,,
Pete Buttigieg,2.0,45960.0,85.0,,
Joe Biden,35.0,7436.0,85.0,,
Bernie Sanders,17.0,7593.0,85.0,,
Elizabeth Warren,6.0,8224.0,85.0,,
Kamala Harris,5.0,13847.0,85.0,,
Pete Buttigieg,2.0,45960.0,85.0,,
Joe Biden,29.0,8766.0,84.0,,
Bernie Sanders,19.0,9445.0,84.0,,
Kamala Harris,8.0,10382.0,84.0,,
Elizabeth Warren,4.0,4619.0,84.0,,
Pete Buttigieg,4.0,43874.0,84.0,,
Joe Biden,28.2,10149.0,83.0,,
Bernie Sanders,16.6,10231.0,83.0,,
Kamala Harris,7.5,12503.0,83.0,,
Elizabeth Warren,4.7,4649.0,83.0,,
Pete Buttigieg,2.6,43862.0,83.0,,
Bernie Sanders,25.0,10231.0,83.0,,
Elizabeth Warren,7.0,4649.0,83.0,,
Joe Biden,35.0,10149.0,83.0,,
Kamala Harris,8.0,12503.0,83.0,,
Pete Buttigieg,2.0,43862.0,83.0,,
Joe Biden,31.0,18915.0,79.0,,
Bernie Sanders,23.0,11868.0,79.0,,
Kamala Harris,8.0,26832.0,79.0,,
Elizabeth Warren,4.0,8623.0,79.0,,
Pete Buttigieg,1.0,43628.0,79.0,,
Kamala Harris,11.6,12345.0,77.0,,
Elizabeth Warren,8.4,6272.0,77.0,,
Bernie Sanders,26.3,14034.0,77.0,,
Joe Biden,25.9,24597.0,77.0,,
Pete Buttigieg,2.9,30367.0,77.0,,
Joe Biden,28.0,27411.0,76.0,,
Bernie Sanders,20.0,14083.0,76.0,,
Kamala Harris,12.0,10472.0,76.0,,
Elizabeth Warren,6.0,5438.0,76.0,,
Pete Buttigieg,1.0,47530.0,76.0,,
Joe Biden,28.0,27411.0,76.0,,
Bernie Sanders,19.0,14083.0,76.0,,
Kamala Harris,11.0,10472.0,76.0,,
Elizabeth Warren,7.0,5438.0,76.0,,
Pete Buttigieg,1.0,47530.0,76.0,,
Joe Biden,35.0,27411.0,76.0,,
Bernie Sanders,27.0,14083.0,76.0,,
Kamala Harris,8.0,10472.0,76.0,,
Elizabeth Warren,7.0,5438.0,76.0,,
Pete Buttigieg,1.0,47530.0,76.0,,
Joe Biden,27.0,16428.0,69.0,,
Pete Buttigieg,.0,6666.0,69.0,,
Kamala Harris,8.0,10469.0,69.0,,
Bernie Sanders,19.0,20936.0,69.0,,
Elizabeth Warren,4.0,8770.0,69.0,,
Bernie Sanders,36.0,20936.0,69.0,,
Kamala Harris,17.0,10469.0,69.0,,
Elizabeth Warren,13.0,8770.0,69.0,,
Pete Buttigieg,1.0,6666.0,69.0,,
Joe Biden,36.0,16428.0,69.0,,
Bernie Sanders,24.0,20936.0,69.0,,
Kamala Harris,9.0,10469.0,69.0,,
Elizabeth Warren,9.0,8770.0,69.0,,
Pete Buttigieg,2.0,6666.0,69.0,,
Joe Biden,31.0,16428.0,69.0,,
Bernie Sanders,27.0,20936.0,69.0,,
Kamala Harris,10.0,10469.0,69.0,,
Elizabeth Warren,7.0,8770.0,69.0,,
Pete Buttigieg,1.0,6666.0,69.0,,
Joe Biden,28.0,8447.0,63.0,,
Bernie Sanders,25.0,32610.0,63.0,,
Kamala Harris,10.0,13941.0,63.0,,
Elizabeth Warren,8.0,4985.0,63.0,,
