Candidate,Poll_Percent,Date,
Elizabeth Warren,40.0,150.0,
Bernie Sanders,37.0,150.0,
Joe Biden,43.0,150.0,
Bernie Sanders,41.0,150.0,
Joe Biden,41.0,150.0,
Kamala Harris,38.0,150.0,
Bernie Sanders,42.0,150.0,
Kamala Harris,37.0,150.0,
Joe Biden,38.0,146.0,
Bernie Sanders,20.0,146.0,
Elizabeth Warren,9.0,146.0,
Pete Buttigieg,7.0,146.0,
Kamala Harris,7.0,146.0,
Joe Biden,33.0,145.0,
Pete Buttigieg,5.0,145.0,
Kamala Harris,6.0,145.0,
Bernie Sanders,15.0,145.0,
Elizabeth Warren,7.0,145.0,
Joe Biden,38.0,141.0,
Bernie Sanders,16.0,141.0,
Pete Buttigieg,5.0,141.0,
Elizabeth Warren,5.0,141.0,
Kamala Harris,5.0,141.0,
Joe Biden,61.0,141.0,
Bernie Sanders,25.0,141.0,
Joe Biden,63.0,141.0,
Kamala Harris,20.0,141.0,
Joe Biden,65.0,141.0,
Pete Buttigieg,17.0,141.0,
Joe Biden,66.0,141.0,
Elizabeth Warren,19.0,141.0,
Joe Biden,31.0,141.0,
Bernie Sanders,22.0,141.0,
Elizabeth Warren,15.0,141.0,
Pete Buttigieg,9.0,141.0,
Kamala Harris,8.0,141.0,
Joe Biden,35.0,140.0,
Bernie Sanders,16.0,140.0,
Kamala Harris,8.0,140.0,
Elizabeth Warren,13.0,140.0,
Pete Buttigieg,5.0,140.0,
Joe Biden,33.0,140.0,
Bernie Sanders,15.0,140.0,
Kamala Harris,11.0,140.0,
Elizabeth Warren,10.0,140.0,
Pete Buttigieg,6.0,140.0,
Joe Biden,39.0,139.0,
Bernie Sanders,19.0,139.0,
Elizabeth Warren,9.0,139.0,
Kamala Harris,8.0,139.0,
Pete Buttigieg,6.0,139.0,
Joe Biden,33.0,138.0,
Pete Buttigieg,6.0,138.0,
Kamala Harris,6.0,138.0,
Bernie Sanders,14.0,138.0,
Elizabeth Warren,8.0,138.0,
Joe Biden,35.0,134.0,
Bernie Sanders,17.0,134.0,
Elizabeth Warren,9.0,134.0,
Pete Buttigieg,6.0,134.0,
Kamala Harris,5.0,134.0,
Joe Biden,29.0,134.0,
Kamala Harris,6.0,134.0,
Elizabeth Warren,6.0,134.0,
Bernie Sanders,13.0,134.0,
Pete Buttigieg,4.0,134.0,
Joe Biden,32.0,134.0,
Kamala Harris,7.0,134.0,
Elizabeth Warren,7.0,134.0,
Bernie Sanders,14.0,134.0,
Pete Buttigieg,4.0,134.0,
Kamala Harris,10.4,133.0,
Pete Buttigieg,7.5,133.0,
Bernie Sanders,24.9,133.0,
Elizabeth Warren,9.7,133.0,
Joe Biden,32.6,133.0,
Joe Biden,39.0,133.0,
Pete Buttigieg,5.0,133.0,
Kamala Harris,6.0,133.0,
Bernie Sanders,20.0,133.0,
Elizabeth Warren,8.0,133.0,
Joe Biden,39.0,132.0,
Bernie Sanders,19.0,132.0,
Elizabeth Warren,8.0,132.0,
Kamala Harris,8.0,132.0,
Pete Buttigieg,6.0,132.0,
Joe Biden,30.0,131.0,
Bernie Sanders,19.0,131.0,
Elizabeth Warren,7.0,131.0,
Kamala Harris,7.0,131.0,
Pete Buttigieg,4.0,131.0,
Joe Biden,37.0,129.0,
Bernie Sanders,15.0,129.0,
Pete Buttigieg,7.0,129.0,
Kamala Harris,5.0,129.0,
Elizabeth Warren,6.0,129.0,
Joe Biden,36.0,125.0,
Bernie Sanders,13.0,125.0,
Elizabeth Warren,8.0,125.0,
Kamala Harris,6.0,125.0,
Pete Buttigieg,5.0,125.0,
Joe Biden,40.0,125.0,
Bernie Sanders,19.0,125.0,
Elizabeth Warren,8.0,125.0,
Kamala Harris,7.0,125.0,
Pete Buttigieg,6.0,125.0,
Joe Biden,46.0,124.0,
Bernie Sanders,14.0,124.0,
Pete Buttigieg,8.0,124.0,
Elizabeth Warren,7.0,124.0,
Kamala Harris,6.0,124.0,
Joe Biden,34.0,121.0,
Bernie Sanders,17.0,121.0,
Pete Buttigieg,4.0,121.0,
Kamala Harris,4.0,121.0,
Elizabeth Warren,3.0,121.0,
Joe Biden,44.0,121.0,
Bernie Sanders,14.0,121.0,
Kamala Harris,9.0,121.0,
Elizabeth Warren,5.0,121.0,
Pete Buttigieg,2.0,121.0,
Joe Biden,38.0,119.0,
Bernie Sanders,11.0,119.0,
Kamala Harris,8.0,119.0,
Elizabeth Warren,12.0,119.0,
Pete Buttigieg,10.0,119.0,
Joe Biden,33.0,118.0,
Pete Buttigieg,5.0,118.0,
Kamala Harris,5.0,118.0,
Bernie Sanders,16.0,118.0,
Elizabeth Warren,6.0,118.0,
Joe Biden,39.0,118.0,
Bernie Sanders,15.0,118.0,
Elizabeth Warren,8.0,118.0,
Pete Buttigieg,7.0,118.0,
Kamala Harris,5.0,118.0,
Joe Biden,36.0,118.0,
Bernie Sanders,22.0,118.0,
Elizabeth Warren,9.0,118.0,
Pete Buttigieg,8.0,118.0,
Kamala Harris,7.0,118.0,
Joe Biden,17.0,115.0,
Bernie Sanders,11.0,115.0,
Pete Buttigieg,5.0,115.0,
Kamala Harris,4.0,115.0,
Elizabeth Warren,4.0,115.0,
Joe Biden,24.0,113.0,
Kamala Harris,6.0,113.0,
Elizabeth Warren,5.0,113.0,
Bernie Sanders,15.0,113.0,
Pete Buttigieg,7.0,113.0,
Joe Biden,30.0,111.0,
Bernie Sanders,24.0,111.0,
Pete Buttigieg,9.0,111.0,
Kamala Harris,8.0,111.0,
Elizabeth Warren,7.0,111.0,
Joe Biden,26.0,109.0,
Bernie Sanders,22.0,109.0,
Pete Buttigieg,7.0,109.0,
Kamala Harris,6.0,109.0,
Elizabeth Warren,3.0,109.0,
Bernie Sanders,26.0,105.0,
Pete Buttigieg,21.0,105.0,
Kamala Harris,10.0,105.0,
Elizabeth Warren,10.0,105.0,
Joe Biden,21.0,105.0,
Bernie Sanders,20.0,105.0,
Pete Buttigieg,17.0,105.0,
Elizabeth Warren,8.0,105.0,
Kamala Harris,7.0,105.0,
Joe Biden,27.0,105.0,
Bernie Sanders,20.0,105.0,
Pete Buttigieg,8.0,105.0,
Kamala Harris,8.0,105.0,
Elizabeth Warren,6.0,105.0,
Bernie Sanders,27.0,105.0,
Pete Buttigieg,11.0,105.0,
Kamala Harris,11.0,105.0,
Elizabeth Warren,8.0,105.0,
Joe Biden,27.0,105.0,
Pete Buttigieg,2.0,105.0,
Kamala Harris,7.0,105.0,
Bernie Sanders,16.0,105.0,
Elizabeth Warren,4.0,105.0,
Joe Biden,30.0,105.0,
Pete Buttigieg,3.0,105.0,
Kamala Harris,9.0,105.0,
Bernie Sanders,19.0,105.0,
Elizabeth Warren,5.0,105.0,
Pete Buttigieg,9.0,104.0,
Bernie Sanders,29.0,104.0,
Elizabeth Warren,6.8,104.0,
Joe Biden,23.8,104.0,
Kamala Harris,7.6,104.0,
Joe Biden,31.0,104.0,
Bernie Sanders,23.0,104.0,
Kamala Harris,9.0,104.0,
Elizabeth Warren,7.0,104.0,
Pete Buttigieg,7.0,104.0,
Bernie Sanders,35.0,104.0,
Kamala Harris,12.0,104.0,
Elizabeth Warren,10.0,104.0,
Pete Buttigieg,9.0,104.0,
Joe Biden,32.0,97.0,
Bernie Sanders,23.0,97.0,
Kamala Harris,9.0,97.0,
Elizabeth Warren,7.0,97.0,
Pete Buttigieg,5.0,97.0,
Joe Biden,36.0,96.0,
Bernie Sanders,19.0,96.0,
Pete Buttigieg,4.0,96.0,
Kamala Harris,9.0,96.0,
Elizabeth Warren,6.0,96.0,
Joe Biden,29.0,90.0,
Pete Buttigieg,3.0,90.0,
Kamala Harris,6.0,90.0,
Bernie Sanders,18.0,90.0,
Elizabeth Warren,5.0,90.0,
Joe Biden,33.0,90.0,
Bernie Sanders,25.0,90.0,
Kamala Harris,8.0,90.0,
Elizabeth Warren,7.0,90.0,
Pete Buttigieg,3.0,90.0,
Joe Biden,26.0,85.0,
Bernie Sanders,18.0,85.0,
Kamala Harris,11.0,85.0,
Elizabeth Warren,5.0,85.0,
Pete Buttigieg,2.0,85.0,
Joe Biden,35.0,85.0,
Bernie Sanders,17.0,85.0,
Elizabeth Warren,6.0,85.0,
Kamala Harris,5.0,85.0,
Pete Buttigieg,2.0,85.0,
Joe Biden,29.0,84.0,
Bernie Sanders,19.0,84.0,
Kamala Harris,8.0,84.0,
Elizabeth Warren,4.0,84.0,
Pete Buttigieg,4.0,84.0,
Joe Biden,28.2,83.0,
Bernie Sanders,16.6,83.0,
Kamala Harris,7.5,83.0,
Elizabeth Warren,4.7,83.0,
Pete Buttigieg,2.6,83.0,
Bernie Sanders,25.0,83.0,
Elizabeth Warren,7.0,83.0,
Joe Biden,35.0,83.0,
Kamala Harris,8.0,83.0,
Pete Buttigieg,2.0,83.0,
Joe Biden,31.0,79.0,
Bernie Sanders,23.0,79.0,
Kamala Harris,8.0,79.0,
Elizabeth Warren,4.0,79.0,
Pete Buttigieg,1.0,79.0,
Kamala Harris,11.6,77.0,
Elizabeth Warren,8.4,77.0,
Bernie Sanders,26.3,77.0,
Joe Biden,25.9,77.0,
Pete Buttigieg,2.9,77.0,
Joe Biden,28.0,76.0,
Bernie Sanders,20.0,76.0,
Kamala Harris,12.0,76.0,
Elizabeth Warren,6.0,76.0,
Pete Buttigieg,1.0,76.0,
Joe Biden,28.0,76.0,
Bernie Sanders,19.0,76.0,
Kamala Harris,11.0,76.0,
Elizabeth Warren,7.0,76.0,
Pete Buttigieg,1.0,76.0,
Joe Biden,35.0,76.0,
Bernie Sanders,27.0,76.0,
Kamala Harris,8.0,76.0,
Elizabeth Warren,7.0,76.0,
Pete Buttigieg,1.0,76.0,
Joe Biden,27.0,69.0,
Pete Buttigieg,.0,69.0,
Kamala Harris,8.0,69.0,
Bernie Sanders,19.0,69.0,
Elizabeth Warren,4.0,69.0,
Bernie Sanders,36.0,69.0,
Kamala Harris,17.0,69.0,
Elizabeth Warren,13.0,69.0,
Pete Buttigieg,1.0,69.0,
Joe Biden,36.0,69.0,
Bernie Sanders,24.0,69.0,
Kamala Harris,9.0,69.0,
Elizabeth Warren,9.0,69.0,
Pete Buttigieg,2.0,69.0,
Joe Biden,31.0,69.0,
Bernie Sanders,27.0,69.0,
Kamala Harris,10.0,69.0,
Elizabeth Warren,7.0,69.0,
Pete Buttigieg,1.0,69.0,
Joe Biden,28.0,63.0,
Bernie Sanders,25.0,63.0,
Kamala Harris,10.0,63.0,
Elizabeth Warren,8.0,63.0,
Pete Buttigieg,.0,63.0,
Bernie Sanders,32.0,63.0,
Kamala Harris,15.0,63.0,
Elizabeth Warren,10.0,63.0,
Pete Buttigieg,.0,63.0,
Joe Biden,31.0,62.0,
Bernie Sanders,27.0,62.0,
Kamala Harris,11.0,62.0,
Elizabeth Warren,7.0,62.0,
Pete Buttigieg,1.0,62.0,
Joe Biden,28.0,62.0,
Bernie Sanders,20.0,62.0,
Kamala Harris,9.0,62.0,
Elizabeth Warren,5.0,62.0,
Pete Buttigieg,.0,62.0,
Joe Biden,29.0,55.0,
Bernie Sanders,27.0,55.0,
Kamala Harris,10.0,55.0,
Elizabeth Warren,7.0,55.0,
Pete Buttigieg,1.0,55.0,
Joe Biden,39.0,54.0,
Bernie Sanders,14.0,54.0,
Kamala Harris,8.0,54.0,
Elizabeth Warren,5.0,54.0,
Pete Buttigieg,.0,54.0,
Joe Biden,30.0,51.0,
Bernie Sanders,19.0,51.0,
Kamala Harris,10.0,51.0,
Elizabeth Warren,4.0,51.0,
Joe Biden,37.0,51.0,
Bernie Sanders,22.0,51.0,
Kamala Harris,10.0,51.0,
Elizabeth Warren,4.0,51.0,
Joe Biden,25.0,49.0,
Kamala Harris,12.0,49.0,
Bernie Sanders,11.0,49.0,
Elizabeth Warren,5.0,49.0,
Joe Biden,30.0,48.0,
Bernie Sanders,21.0,48.0,
Kamala Harris,11.0,48.0,
Elizabeth Warren,8.0,48.0,
Pete Buttigieg,.0,48.0,
Kamala Harris,14.9,47.0,
Bernie Sanders,17.2,47.0,
Elizabeth Warren,9.2,47.0,
Joe Biden,27.4,47.0,
Pete Buttigieg,.0,47.0,
Joe Biden,12.0,42.0,
Kamala Harris,11.0,42.0,
Bernie Sanders,9.0,42.0,
Elizabeth Warren,3.0,42.0,
Joe Biden,25.0,41.0,
Bernie Sanders,16.0,41.0,
Kamala Harris,8.0,41.0,
Elizabeth Warren,5.0,41.0,
Pete Buttigieg,.1,41.0,
Joe Biden,29.0,41.0,
Bernie Sanders,22.0,41.0,
Kamala Harris,13.0,41.0,
Elizabeth Warren,8.0,41.0,
Pete Buttigieg,.0,41.0,
Bernie Sanders,21.0,34.0,
Elizabeth Warren,9.0,34.0,
Joe Biden,30.0,34.0,
Kamala Harris,14.0,34.0,
Pete Buttigieg,.0,34.0,
Joe Biden,29.0,33.0,
Bernie Sanders,16.0,33.0,
Elizabeth Warren,6.0,33.0,
Kamala Harris,14.0,33.0,
Pete Buttigieg,.0,33.0,
Joe Biden,29.0,27.0,
Bernie Sanders,16.0,27.0,
Elizabeth Warren,8.0,27.0,
Kamala Harris,11.0,27.0,
Pete Buttigieg,.0,27.0,
Joe Biden,33.0,27.0,
Bernie Sanders,15.0,27.0,
Elizabeth Warren,6.0,27.0,
Kamala Harris,10.0,27.0,
Pete Buttigieg,.0,27.0,
Bernie Sanders,21.0,27.0,
Elizabeth Warren,9.0,27.0,
Joe Biden,31.0,27.0,
Kamala Harris,11.0,27.0,
Joe Biden,9.0,24.0,
Kamala Harris,8.0,24.0,
Bernie Sanders,4.0,24.0,
Elizabeth Warren,2.0,24.0,
Joe Biden,26.0,22.0,
Bernie Sanders,16.0,22.0,
Elizabeth Warren,6.0,22.0,
Kamala Harris,9.0,22.0,
Joe Biden,45.4,21.0,
Kamala Harris,2.6,21.0,
Bernie Sanders,5.4,21.0,
Elizabeth Warren,2.9,21.0,
Kamala Harris,18.9,21.0,
Elizabeth Warren,42.9,21.0,
Joe Biden,27.0,20.0,
Bernie Sanders,18.0,20.0,
Elizabeth Warren,9.0,20.0,
Kamala Harris,6.0,20.0,
Joe Biden,25.0,20.0,
Bernie Sanders,12.0,20.0,
Elizabeth Warren,5.0,20.0,
Kamala Harris,5.0,20.0,
Bernie Sanders,23.0,20.0,
Elizabeth Warren,11.0,20.0,
Joe Biden,30.0,20.0,
Kamala Harris,6.0,20.0,
Joe Biden,24.0,16.0,
Bernie Sanders,13.0,16.0,
Elizabeth Warren,5.0,16.0,
Kamala Harris,4.0,16.0,
Joe Biden,23.0,16.0,
Bernie Sanders,21.0,16.0,
Kamala Harris,7.0,16.0,
Elizabeth Warren,4.0,16.0,
Joe Biden,32.0,14.0,
Bernie Sanders,15.0,14.0,
Elizabeth Warren,9.0,14.0,
Kamala Harris,6.0,14.0,
Bernie Sanders,23.0,13.0,
Elizabeth Warren,11.0,13.0,
Joe Biden,31.0,13.0,
Kamala Harris,7.0,13.0,
Joe Biden,27.0,6.0,
Bernie Sanders,16.0,6.0,
Elizabeth Warren,4.0,6.0,
Kamala Harris,3.0,6.0,
