Candidate,Poll_Percent,Date,Wikipedia_Traffic,,
Andrew Yang,1.0,07/17/19,6103.0,,
Beto O'Rourke,1.0,07/17/19,3376.0,,
Bill de Blasio,.0,07/17/19,3554.0,,
Cory Booker,2.0,07/17/19,3903.0,,
Elizabeth Warren,14.0,07/17/19,6601.0,,
Joe Biden,35.0,07/17/19,7616.0,,
Joe Sestak,.0,07/17/19,887.0,,
John Hickenlooper,.0,07/17/19,737.0,,
Julian Castro,.0,07/17/19,1571.0,,
Kamala Harris,8.0,07/17/19,21757.0,,
Kirsten Gillibrand,.0,07/17/19,1874.0,,
Marianne Williamson,.0,07/17/19,8766.0,,
Michael Bennet,.0,07/17/19,2003.0,,
Pete Buttigieg,4.0,07/17/19,11713.0,,
Steve Bullock,.0,07/17/19,41.0,,
Tim Ryan,.0,07/17/19,56.0,,
Tom Steyer,1.0,07/17/19,13615.0,,
Tulsi Gabbard,1.0,07/17/19,6295.0,,
Wayne Messam,.0,07/17/19,565.0,,
John Delaney,.0,07/17/19,26.0,,
Jay Inslee,.0,07/17/19,989.0,,
Mike Gravel,.0,07/17/19,1984.0,,
Seth Moulton,.0,07/17/19,782.0,,
Michael Bennet,1.0,07/16/19,2052.0,,
Joe Biden,23.0,07/16/19,9550.0,,
Cory Booker,3.0,07/16/19,3110.0,,
Steve Bullock,1.0,07/16/19,20.0,,
Pete Buttigieg,7.0,07/16/19,10671.0,,
Julian Castro,1.0,07/16/19,1931.0,,
Bill de Blasio,2.0,07/16/19,4056.0,,
John Delaney,.0,07/16/19,32.0,,
Tulsi Gabbard,1.0,07/16/19,7318.0,,
Kirsten Gillibrand,1.0,07/16/19,1916.0,,
Mike Gravel,.0,07/16/19,2150.0,,
Kamala Harris,10.0,07/16/19,17125.0,,
John Hickenlooper,.0,07/16/19,923.0,,
Jay Inslee,.0,07/16/19,1248.0,,
Amy Klobuchar,1.0,07/16/19,1791.0,,
Wayne Messam,.0,07/16/19,951.0,,
Seth Moulton,.0,07/16/19,1117.0,,
Beto O'Rourke,2.0,07/16/19,4656.0,,
Tim Ryan,.0,07/16/19,140.0,,
Joe Sestak,.0,07/16/19,956.0,,
Tom Steyer,1.0,07/16/19,8130.0,,
Elizabeth Warren,15.0,07/16/19,7519.0,,
Marianne Williamson,.0,07/16/19,5684.0,,
Andrew Yang,1.0,07/16/19,4644.0,,
Joe Biden,25.0,07/16/19,9550.0,,
Elizabeth Warren,16.0,07/16/19,7519.0,,
Kamala Harris,14.0,07/16/19,17125.0,,
Pete Buttigieg,8.0,07/16/19,10671.0,,
Beto O'Rourke,3.0,07/16/19,4656.0,,
Cory Booker,3.0,07/16/19,3110.0,,
Julian Castro,2.0,07/16/19,1931.0,,
Andrew Yang,2.0,07/16/19,4644.0,,
Amy Klobuchar,1.0,07/16/19,1791.0,,
Tim Ryan,1.0,07/16/19,140.0,,
Kirsten Gillibrand,1.0,07/16/19,1916.0,,
Marianne Williamson,1.0,07/16/19,5684.0,,
Tulsi Gabbard,1.0,07/16/19,7318.0,,
Bill de Blasio,1.0,07/16/19,4056.0,,
Michael Bennet,1.0,07/16/19,2052.0,,
John Hickenlooper,.0,07/16/19,923.0,,
Jay Inslee,.0,07/16/19,1248.0,,
John Delaney,.0,07/16/19,32.0,,
Joe Sestak,.0,07/16/19,956.0,,
Steve Bullock,.0,07/16/19,20.0,,
Mike Gravel,.0,07/16/19,2150.0,,
Seth Moulton,.0,07/16/19,1117.0,,
Wayne Messam,.0,07/16/19,951.0,,
Joe Biden,36.0,07/16/19,9550.0,,
Kamala Harris,13.0,07/16/19,17125.0,,
Elizabeth Warren,9.0,07/16/19,7519.0,,
Pete Buttigieg,5.0,07/16/19,10671.0,,
Joe Sestak,3.0,07/16/19,956.0,,
Cory Booker,2.0,07/16/19,3110.0,,
Michael Bennet,2.0,07/16/19,2052.0,,
Steve Bullock,1.0,07/16/19,20.0,,
Andrew Yang,1.0,07/16/19,4644.0,,
Bill de Blasio,1.0,07/16/19,4056.0,,
Marianne Williamson,1.0,07/16/19,5684.0,,
Beto O'Rourke,1.0,07/16/19,4656.0,,
John Delaney,1.0,07/16/19,32.0,,
Julian Castro,.0,07/16/19,1931.0,,
Tim Ryan,.0,07/16/19,140.0,,
Tulsi Gabbard,.0,07/16/19,7318.0,,
Amy Klobuchar,.0,07/16/19,1791.0,,
Kirsten Gillibrand,.0,07/16/19,1916.0,,
Mike Gravel,.0,07/16/19,2150.0,,
John Hickenlooper,.0,07/16/19,923.0,,
Jay Inslee,.0,07/16/19,1248.0,,
Wayne Messam,.0,07/16/19,951.0,,
Seth Moulton,.0,07/16/19,1117.0,,
Joe Biden,31.0,07/16/19,9550.0,,
Kamala Harris,15.0,07/16/19,17125.0,,
Elizabeth Warren,13.0,07/16/19,7519.0,,
Pete Buttigieg,5.0,07/16/19,10671.0,,
Andrew Yang,4.0,07/16/19,4644.0,,
Julian Castro,3.0,07/16/19,1931.0,,
Cory Booker,2.0,07/16/19,3110.0,,
Amy Klobuchar,2.0,07/16/19,1791.0,,
Steve Bullock,2.0,07/16/19,20.0,,
Tim Ryan,1.0,07/16/19,140.0,,
Beto O'Rourke,1.0,07/16/19,4656.0,,
Jay Inslee,.0,07/16/19,1248.0,,
Marianne Williamson,.0,07/16/19,5684.0,,
Bill de Blasio,.0,07/16/19,4056.0,,
Michael Bennet,.0,07/16/19,2052.0,,
John Delaney,.0,07/16/19,32.0,,
Joe Sestak,.0,07/16/19,956.0,,
Kirsten Gillibrand,.0,07/16/19,1916.0,,
Seth Moulton,.0,07/16/19,1117.0,,
Tulsi Gabbard,.0,07/16/19,7318.0,,
Mike Gravel,.0,07/16/19,2150.0,,
John Hickenlooper,.0,07/16/19,923.0,,
Wayne Messam,.0,07/16/19,951.0,,
Joe Biden,47.0,07/16/19,9550.0,,
Kamala Harris,8.0,07/16/19,17125.0,,
Elizabeth Warren,7.0,07/16/19,7519.0,,
Michael Bennet,3.0,07/16/19,2052.0,,
Cory Booker,3.0,07/16/19,3110.0,,
Pete Buttigieg,3.0,07/16/19,10671.0,,
Marianne Williamson,2.0,07/16/19,5684.0,,
Kirsten Gillibrand,1.0,07/16/19,1916.0,,
Amy Klobuchar,1.0,07/16/19,1791.0,,
Jay Inslee,1.0,07/16/19,1248.0,,
Andrew Yang,.0,07/16/19,4644.0,,
Beto O'Rourke,.0,07/16/19,4656.0,,
Tulsi Gabbard,.0,07/16/19,7318.0,,
John Delaney,.0,07/16/19,32.0,,
Bill de Blasio,.0,07/16/19,4056.0,,
Mike Gravel,.0,07/16/19,2150.0,,
Steve Bullock,.0,07/16/19,20.0,,
Julian Castro,.0,07/16/19,1931.0,,
John Hickenlooper,.0,07/16/19,923.0,,
Wayne Messam,.0,07/16/19,951.0,,
Seth Moulton,.0,07/16/19,1117.0,,
Tim Ryan,.0,07/16/19,140.0,,
Joe Sestak,.0,07/16/19,956.0,,
Joe Biden,33.0,07/16/19,9550.0,,
Elizabeth Warren,18.0,07/16/19,7519.0,,
Kamala Harris,12.0,07/16/19,17125.0,,
Pete Buttigieg,6.0,07/16/19,10671.0,,
Michael Bennet,2.0,07/16/19,2052.0,,
Tulsi Gabbard,1.0,07/16/19,7318.0,,
Kirsten Gillibrand,1.0,07/16/19,1916.0,,
Beto O'Rourke,1.0,07/16/19,4656.0,,
John Hickenlooper,1.0,07/16/19,923.0,,
Cory Booker,1.0,07/16/19,3110.0,,
Amy Klobuchar,1.0,07/16/19,1791.0,,
Julian Castro,1.0,07/16/19,1931.0,,
Seth Moulton,1.0,07/16/19,1117.0,,
Wayne Messam,1.0,07/16/19,951.0,,
Marianne Williamson,.0,07/16/19,5684.0,,
Andrew Yang,.0,07/16/19,4644.0,,
John Delaney,.0,07/16/19,32.0,,
Steve Bullock,.0,07/16/19,20.0,,
Jay Inslee,.0,07/16/19,1248.0,,
Bill de Blasio,.0,07/16/19,4056.0,,
Mike Gravel,.0,07/16/19,2150.0,,
Tim Ryan,.0,07/16/19,140.0,,
Joe Sestak,.0,07/16/19,956.0,,
Joe Biden,21.0,07/15/19,7376.0,,
Beto O'Rourke,1.0,07/15/19,7251.0,,
Kamala Harris,23.0,07/15/19,14885.0,,
Elizabeth Warren,16.0,07/15/19,6736.0,,
Cory Booker,1.0,07/15/19,3239.0,,
Kirsten Gillibrand,.0,07/15/19,2255.0,,
Amy Klobuchar,.0,07/15/19,2100.0,,
Julian Castro,1.0,07/15/19,1816.0,,
Tulsi Gabbard,.0,07/15/19,5514.0,,
Jay Inslee,1.0,07/15/19,1288.0,,
John Hickenlooper,.0,07/15/19,982.0,,
John Delaney,.0,07/15/19,21.0,,
Pete Buttigieg,3.0,07/15/19,15812.0,,
Andrew Yang,2.0,07/15/19,4477.0,,
Marianne Williamson,.0,07/15/19,3344.0,,
Wayne Messam,.0,07/15/19,714.0,,
Tim Ryan,.0,07/15/19,48.0,,
Seth Moulton,.0,07/15/19,895.0,,
Michael Bennet,.0,07/15/19,2897.0,,
Steve Bullock,.0,07/15/19,9.0,,
Bill de Blasio,.0,07/15/19,6156.0,,
Mike Gravel,.0,07/15/19,2383.0,,
Joe Sestak,.0,07/15/19,985.0,,
Tom Steyer,.0,07/15/19,8689.0,,
Joe Biden,24.0,07/15/19,7376.0,,
Elizabeth Warren,19.0,07/15/19,6736.0,,
Pete Buttigieg,10.0,07/15/19,15812.0,,
Kamala Harris,9.0,07/15/19,14885.0,,
Cory Booker,2.0,07/15/19,3239.0,,
Beto O'Rourke,2.0,07/15/19,7251.0,,
Tulsi Gabbard,1.0,07/15/19,5514.0,,
Marianne Williamson,1.0,07/15/19,3344.0,,
Andrew Yang,1.0,07/15/19,4477.0,,
John Delaney,1.0,07/15/19,21.0,,
Kirsten Gillibrand,1.0,07/15/19,2255.0,,
Michael Bennet,1.0,07/15/19,2897.0,,
Tom Steyer,.0,07/15/19,8689.0,,
Amy Klobuchar,.0,07/15/19,2100.0,,
Seth Moulton,.0,07/15/19,895.0,,
Tim Ryan,.0,07/15/19,48.0,,
Bill de Blasio,.0,07/15/19,6156.0,,
Jay Inslee,.0,07/15/19,1288.0,,
Steve Bullock,.0,07/15/19,9.0,,
Julian Castro,.0,07/15/19,1816.0,,
John Hickenlooper,.0,07/15/19,982.0,,
Wayne Messam,.0,07/15/19,714.0,,
Joe Sestak,.0,07/15/19,985.0,,
Joe Biden,19.6,07/15/19,7376.0,,
Kamala Harris,20.3,07/15/19,14885.0,,
Elizabeth Warren,24.8,07/15/19,6736.0,,
Pete Buttigieg,7.7,07/15/19,15812.0,,
Beto O'Rourke,2.3,07/15/19,7251.0,,
Cory Booker,1.4,07/15/19,3239.0,,
Amy Klobuchar,1.1,07/15/19,2100.0,,
John Hickenlooper,.3,07/15/19,982.0,,
Andrew Yang,1.2,07/15/19,4477.0,,
Jay Inslee,.6,07/15/19,1288.0,,
Kirsten Gillibrand,.6,07/15/19,2255.0,,
Tulsi Gabbard,1.4,07/15/19,5514.0,,
Julian Castro,1.4,07/15/19,1816.0,,
Tim Ryan,.2,07/15/19,48.0,,
Marianne Williamson,.5,07/15/19,3344.0,,
Michael Bennet,.2,07/15/19,2897.0,,
Steve Bullock,.3,07/15/19,9.0,,
Bill de Blasio,.2,07/15/19,6156.0,,
John Delaney,.2,07/15/19,21.0,,
Tom Steyer,.2,07/15/19,8689.0,,
Joe Biden,22.0,07/14/19,6576.0,,
Elizabeth Warren,19.0,07/14/19,6897.0,,
Kamala Harris,9.0,07/14/19,14933.0,,
Pete Buttigieg,7.0,07/14/19,17572.0,,
John Hickenlooper,7.0,07/14/19,1173.0,,
Michael Bennet,5.0,07/14/19,2880.0,,
Beto O'Rourke,1.0,07/14/19,3091.0,,
Joe Biden,32.0,07/14/19,6576.0,,
Elizabeth Warren,14.0,07/14/19,6897.0,,
Kamala Harris,13.0,07/14/19,14933.0,,
Pete Buttigieg,5.0,07/14/19,17572.0,,
Beto O'Rourke,3.0,07/14/19,3091.0,,
Andrew Yang,2.0,07/14/19,5298.0,,
Cory Booker,2.0,07/14/19,3070.0,,
Michael Bennet,1.0,07/14/19,2880.0,,
Steve Bullock,1.0,07/14/19,7.0,,
Julian Castro,1.0,07/14/19,1571.0,,
John Delaney,1.0,07/14/19,29.0,,
Tulsi Gabbard,1.0,07/14/19,5374.0,,
Kirsten Gillibrand,1.0,07/14/19,2745.0,,
John Hickenlooper,1.0,07/14/19,1173.0,,
Amy Klobuchar,1.0,07/14/19,2008.0,,
Tim Ryan,1.0,07/14/19,52.0,,
Bill de Blasio,.0,07/14/19,8820.0,,
Jay Inslee,.0,07/14/19,1438.0,,
Seth Moulton,.0,07/14/19,709.0,,
Marianne Williamson,.0,07/14/19,3618.0,,
Joe Biden,25.0,07/14/19,6576.0,,
Elizabeth Warren,23.0,07/14/19,6897.0,,
Kamala Harris,17.0,07/14/19,14933.0,,
Pete Buttigieg,6.0,07/14/19,17572.0,,
Beto O'Rourke,3.0,07/14/19,3091.0,,
Andrew Yang,2.0,07/14/19,5298.0,,
Julian Castro,2.0,07/14/19,1571.0,,
Tulsi Gabbard,2.0,07/14/19,5374.0,,
Cory Booker,1.0,07/14/19,3070.0,,
John Delaney,1.0,07/14/19,29.0,,
John Hickenlooper,1.0,07/14/19,1173.0,,
Marianne Williamson,1.0,07/14/19,3618.0,,
Michael Bennet,1.0,07/14/19,2880.0,,
Steve Bullock,1.0,07/14/19,7.0,,
Amy Klobuchar,.0,07/14/19,2008.0,,
Bill de Blasio,.0,07/14/19,8820.0,,
Jay Inslee,.0,07/14/19,1438.0,,
Kirsten Gillibrand,.0,07/14/19,2745.0,,
Tim Ryan,.0,07/14/19,52.0,,
Joe Biden,29.0,07/13/19,6311.0,,
